keydevid,companyid,companyname,keydeveventtypeid,announcedate,gvkey
567844226,26593586,"Restoration Robotics, Inc.",25,20180525,032380
567877869,738860,"Teva Pharmaceuticals USA, Inc.",25,20180524,
567878575,874110,Bank Polska Kasa Opieki S.A.,25,20180524,220161
568045660,35109764,Falcon Energy Group Limited,25,20180524,285597
568046159,107354012,Tek Automotive Srl,25,20180523,
568154810,410357484,"Precision Medical Products, Inc.",25,20180527,
568185073,6522039,Prosafe SE,25,20180528,216627
568249300,62278098,Huawei International Pte. Ltd.,25,20180525,
568332624,24768019,Shanghai Turbo Enterprises Ltd,25,20180525,275163
568545231,556147167,The Murieta Inn and Spa,25,20180529,
568618255,28286029,Snapdeal Private Limited,25,20180526,
568748511,35000,NortonLifeLock Inc.,25,20180530,015855
568748666,28236,"Esperion Therapeutics, Inc.",25,20180530,
568750118,247371,Aceto Corporation,25,20180530,001094
568971789,191564,The Walt Disney Company,25,20180530,003980
568995058,82688077,"Bud Genius, Inc.",25,20180522,
568996283,214050898,"IEX Group, Inc.",25,20180530,
569166798,59223727,"Recro Pharma, Inc.",25,20180531,019025
569183580,292891,Wells Fargo & Company,25,20180531,008007
569207636,162388,"Dairy Farmers of America, Inc.",25,20180601,
569207636,184002,"Land O'Lakes, Inc.",25,20180601,148276
569207636,535960633,"Agrimark, Inc.",25,20180601,
569344477,317519,AGCO Corporation,25,20180601,025180
569344477,54803819,"Precision Planting, LLC",25,20180601,
569357935,294639,"PPG Industries, Inc.",25,20180601,008247
569475692,53943514,Atlas Financial Holdings Inc.,25,20180426,
569475953,34600869,LendingClub Corporation,25,20180425,019647
569475982,61040660,Shanda Games Limited,25,20180426,183553
569477555,248270,AB SKF (publ),25,20180427,011749
569477555,873861,Peugeot S.A.,25,20180427,101276
569479037,292891,Wells Fargo & Company,25,20180504,008007
569479644,31093589,"Metalast International, LLC",25,20180516,
569479910,24937,Apple Inc.,25,20180529,001690
569489703,655542,Aetna Inc.,25,20180529,001177
569507505,308331736,IDnow GmbH,25,20180427,
569510595,237771891,"Dali San Teh Xing Real Estate Co., Ltd.",25,20180530,
569782768,35000,NortonLifeLock Inc.,25,20180604,015855
569816432,79692237,Argonaut Gold Inc.,25,20180605,178384
569827826,36367670,"INSYS Therapeutics, Inc.",25,20180531,179731
569843806,23046303,Micro Focus International plc,25,20180604,272961
569843983,60839208,"Colony Capital, Inc.",25,20180604,183603
569846231,114039,"DexCom, Inc.",25,20180605,162887
569846231,2514132,"AgaMatrix, Inc.",25,20180605,
569850404,215515336,Prothena Corporation plc,25,20180604,016745
569850456,281553851,"ThermiHealth, LLC",25,20180604,
569856997,381906081,Gridsum Holding Inc.,25,20180604,027922
569880330,6371783,Questerre Energy Corporation,25,20180604,155224
569883948,411514675,Puritan Medical Products Co LLC,25,20180604,
569884410,8088097,AQ Estate Public Company Limited,25,20180605,104168
569886406,42681560,"MabVax Therapeutics Holdings, Inc.",25,20180604,021082
569892761,24806483,Minerva Bunkering,25,20180606,165642
569894075,49068649,"Fitbit, Inc.",25,20180605,023856
569949756,283588,"Kulicke and Soffa Industries, Inc.",25,20180606,006509
569958438,65059725,"Edge Therapeutics, Inc.",25,20180606,026273
569959471,247371,Aceto Corporation,25,20180606,001094
569961283,4369761,"Fch Enterprises, Inc.",25,20180606,
569963922,4107517,"Molina Healthcare, Inc.",25,20180606,152149
569988605,50242834,China Auto Logistics Inc.,25,20180606,178304
570013933,117856404,B&W Partners AG,25,20180607,
570013933,558700209,Ingwenya Inc.,25,20180607,
570034217,79253044,Sound Transit,25,20180607,
570076489,108994202,"FoodFirst Global Restaurants, Inc.",25,20180426,185194
570077593,26524,"Citrix Systems, Inc.",25,20180426,061676
570179995,34600869,LendingClub Corporation,25,20180607,019647
570182332,426384712,"Shenzhen Jiedian Technology Co., Ltd.",25,20180607,
570280648,377732,Volkswagen AG,25,20180604,100737
570280653,410467,Deutsche Bank Aktiengesellschaft,25,20180608,015576
570297112,874262,Commonwealth Bank of Australia,25,20180603,024512
570301715,226461008,Blockchain Group Company Limited,25,20180604,255974
570310397,113541117,"REV Group, Inc.",25,20180608,185952
570310446,345779,Bausch Health Companies Inc.,25,20180608,029955
570313947,33493,QUALCOMM Incorporated,25,20180609,024800
570326948,32314793,"Zhejiang Jishan Printing & Dyeing Co.,LTD.",25,20180605,
570326948,100551260,"Zhejiang Jishan Holdings Group Co., Ltd.",25,20180605,
570326948,414550782,"Shao Xing Yue Sheng Real Estate Property Development Co., Ltd.",25,20180605,
570326948,414550797,"Shanghai Jintumu Real Estate Co., Ltd",25,20180605,
570330612,31249899,Shanghai San Teh Xing Real Estate Co. Ltd.,25,20180607,
570330737,13757626,Acesian Partners Limited,25,20180605,285603
570330737,32609306,Acesian Engineering Pte. Ltd,25,20180605,
570330737,550244612,Active Building Technologies Pte Ltd,25,20180605,
570333590,30562032,SIA LatRosTrans,25,20180608,
570351946,4370169,Nutraceutical Corporation,25,20180607,
570370086,6435342,Ford Motor Company of Australia Limited,25,20180426,
570376617,37373657,KF 15 GmbH,25,20180427,
570376686,208777059,Armada Seismic Invest II AS,25,20180430,
570383690,377732,Volkswagen AG,25,20180503,100737
570384942,3758896,University of Washington,25,20180502,
570388487,345984,"KS Bancorp, Inc.",25,20180516,029513
570390035,8423708,"Cancer Genetics, Inc.",25,20180427,170420
570414860,377732,Volkswagen AG,25,20180426,100737
570459842,265058647,Kamoto Copper Company SARL,25,20180611,
570461898,7960158,"SoundExchange, Inc.",25,20180611,
570461898,248607529,Sirius XM Radio Inc.,25,20180611,
570466852,882701,MTN Group Limited,25,20180606,211655
570478360,877614,V1 Group Limited,25,20180516,209568
570505107,8088563,Nawarat Patanakarn Public Company Limited,25,20180427,211912
570505107,40165752,"Vichitbhan Construction Co., Ltd.",25,20180427,
570533004,11970930,"Switch, Inc.",25,20180612,032469
570534877,4306112,"Ormat Technologies, Inc.",25,20180611,160913
570535091,127095032,"VEREIT, Inc.",25,20180611,186783
570535091,140072944,"VEREIT Operating Partnership, L.P.",25,20180611,
570536335,12619067,"HyperBranch Medical Technology, Inc.",25,20180611,
570537849,630539,"Monster, Inc.",25,20180611,
570537849,8160011,"Best Buy Stores, L.P.",25,20180611,
570537849,24930246,"BestBuy.com, LLC",25,20180611,
570574202,3474216,"Eagle Pharmaceuticals, Inc.",25,20180611,019784
570619535,884549,Deutsche Balaton AG,25,20180612,216036
570619535,114268631,DELPHI Unternehmensberatung Aktiengesellschaft,25,20180612,
570619535,114268853,VV Beteiligungen AG,25,20180612,
570619535,114270293,ABC Beteiligungen AG,25,20180612,
570619535,560672564,Deutsche Balaton Biotech AG,25,20180612,
570631637,423589707,"Caito Foods, LLC",25,20180612,
570682354,22286334,Gécamines SA,25,20180613,
570682354,28008918,Katanga Mining Limited,25,20180613,279398
570700271,9086326,Sumatec Resources Berhad,25,20180613,259780
570719283,4492917,Dragon Mining Limited,25,20180613,251638
570729479,139813,PG&E Corporation,25,20180613,008264
570730433,1006484,"PTC Therapeutics, Inc.",25,20180613,174134
570734927,402894,Gerdau S.A.,25,20180613,111941
570737622,50301856,"Amsted Rail Company, Inc.",25,20180612,
570739529,42681560,"MabVax Therapeutics Holdings, Inc.",25,20180613,021082
570745785,39351185,Ontario Graphite Ltd.,25,20180613,
570750854,377732,Volkswagen AG,25,20180613,100737
570765516,6995884,"Akers Biosciences, Inc.",25,20180613,275264
570766500,25056340,Great Lakes Graphite Inc.,25,20180613,180393
570816205,246285396,"Coastway Bancorp, Inc.",25,20180614,019529
570819299,166762,Unum Group,25,20180614,012726
570826380,264625,Purdue Pharma L.P.,25,20180613,
570830119,36553643,"Total Maintenance Solutions, Inc.",25,20180613,
570830123,3678735,"CSX Transportation, Inc.",25,20180613,009537
570832453,280639094,Yellow Pages Digital and Media Solutions Limited,25,20180614,
570837496,10214722,Macquarie Infrastructure Corporation,25,20180614,161120
570857103,4165853,"Kwik Trip, Inc.",25,20180614,
570857103,224280760,"Del Monte Fresh Produce N.A., Inc.",25,20180614,
570898491,243624356,Mutanda Mining Sarl,25,20180615,
570898491,265058647,Kamoto Copper Company SARL,25,20180615,
570911057,292891,Wells Fargo & Company,25,20180615,008007
570922320,49363103,Wealthy Rise International Ltd,25,20180615,
570931981,104753562,Tahoe Resources Inc.,25,20180615,185030
570956431,881725,Dr. Reddy's Laboratories Limited,25,20180616,223098
570967115,28236,"Esperion Therapeutics, Inc.",25,20180616,
571048472,139426,"QuinStreet, Inc.",25,20180617,184263
571054951,34600869,LendingClub Corporation,25,20180618,019647
571099923,58133551,Huawei Technologies Duesseldorf Gmbh,25,20180618,
571099923,311550226,"Huawei Technologies Co., Ltd.",25,20180618,
571099923,632375875,Wattkraft Solar GmbH,25,20180618,
571100338,39453852,Aqua Bio Technology ASA,25,20180618,287919
571102319,536805454,FAT Brands Inc.,25,20180618,032592
571110769,283588,"Kulicke and Soffa Industries, Inc.",25,20180618,006509
571115362,65059725,"Edge Therapeutics, Inc.",25,20180618,026273
571115366,4220287,Nationstar Mortgage Holdings Inc.,25,20180618,184498
571115476,113921345,TAL Education Group,25,20180618,185733
571118053,61562447,BioAmber Inc.,25,20180618,196160
571128936,138549319,"AirWatch, LLC",25,20180618,
571142304,103599,Xerox Holdings Corporation,25,20180618,011636
571142427,31822,"Myriad Genetics, Inc.",25,20180619,061399
571155875,19053,Bank of Montreal,25,20180618,015580
571155875,386873,Canadian Imperial Bank of Commerce,25,20180618,015581
571193805,47949091,"Amazon, Inc.",25,20180619,
571227912,46301474,Gama Aviation Plc,25,20180619,295821
571228242,7779764,"Lutron Electronics Co., Inc.",25,20180619,
571234942,166762,Unum Group,25,20180619,012726
571242061,261970466,"Flex Pharma, Inc.",25,20180619,022673
571251165,6995884,"Akers Biosciences, Inc.",25,20180619,275264
571252788,185648,"MetLife, Inc.",25,20180619,133768
571253284,128205,"Oclaro, Inc.",25,20180619,133944
571290602,778699,Telecom Argentina S.A.,25,20180620,029194
571290602,1432417,Grupo Clarín S.A.,25,20180620,287136
571290602,50129235,America T.V. S.A.,25,20180620,
571290602,141494912,Supercanal S.A.,25,20180620,
571290602,600906405,Supercablecanal S.A.,25,20180620,
571334233,383101,"Actavis Pharma, Inc.",25,20180620,109185
571334233,4589580,"Actavis Laboratories FL, Inc.",25,20180620,
571334233,38444119,"Amneal Pharmaceuticals, Inc.",25,20180620,018888
571365036,126475,SAP SE,25,20180620,103487
571365036,997532,"SAP America, Inc.",25,20180620,
571365036,4433970,"SAP Labs, LLC",25,20180620,
571370458,215515336,Prothena Corporation plc,25,20180620,016745
571379292,2191800,Unichem Laboratories Limited,25,20180620,247668
571381354,212804465,Jason Holdings Limited,25,20180620,313638
571384412,4222923,Emanate Health Medical Center,25,20180620,
571384412,4247736,"Citrus Valley Medical Center, Inc",25,20180620,
571386157,347750306,City Practice Group USA LLC,25,20180620,
571396113,26510,Flex Ltd.,25,20180620,030170
571397186,283588,"Kulicke and Soffa Industries, Inc.",25,20180620,006509
571422898,206238237,Surf Air Inc.,25,20180620,
571454997,413777212,Cloud With Me Limited,25,20180620,
571510001,174438,Target Corporation,25,20180621,003813
571510001,28033195,"Prince Lionheart, Inc.",25,20180621,
571510002,283356,Kellogg Company,25,20180621,006375
571516154,261498,"Reading International, Inc.",25,20180621,031629
571537434,291703,Newell Brands Inc.,25,20180621,007875
571568044,4217404,Université Laval,25,20180621,
571610881,409268,Petróleo Brasileiro S.A. - Petrobras,25,20180622,222111
571639710,250788,Analogic Corporation,25,20180622,001633
571649783,139813,PG&E Corporation,25,20180622,008264
571650126,271329,Federal Signal Corporation,25,20180622,004608
571657459,386289,NOVA Chemicals Corporation,25,20180622,008009
571659703,285467,Eli Lilly and Company,25,20180622,006730
571706682,4306112,"Ormat Technologies, Inc.",25,20180623,160913
571711598,33386,ADT Inc.,25,20180623,
571894114,33386,ADT Inc.,25,20180625,
571898994,26593586,"Restoration Robotics, Inc.",25,20180625,032380
571899498,113541117,"REV Group, Inc.",25,20180625,185952
571903551,317975,Express Scripts Holding Company,25,20180625,025356
571923316,236268217,Honey Science Corporation,25,20180626,
571927529,409268,Petróleo Brasileiro S.A. - Petrobras,25,20180625,222111
571930265,958188,Civista Bank,25,20180625,
571930265,1016805,"Civista Bancshares, Inc.",25,20180625,021593
571930265,4439738,United Community Bancorp,25,20180625,166747
571930265,6499275,United Community Bank,25,20180625,
571932940,880128,Bezeq The Israel Telecommunication Corporation Limited,25,20180625,222070
571943441,409268,Petróleo Brasileiro S.A. - Petrobras,25,20180625,222111
571943692,92001,American Express Company,25,20180625,001447
571960156,137821,20 Microns Limited,25,20180625,289992
571990902,349067,"ParkerVision, Inc.",25,20180626,029332
571995401,32424987,AT Reservation Network Pte Ltd.,25,20180626,
571997124,30196429,Chagala Group Limited,25,20180626,176044
571997124,265083498,TIPP Investments PCC,25,20180626,
572025694,6716694,"InnerWorkings, Inc.",25,20180626,174541
572025813,874051,Air New Zealand Limited,25,20180627,102234
572072593,645731,"SPYR, Inc.",25,20180626,063752
572072760,645731,"SPYR, Inc.",25,20180626,063752
572156703,1418524,"PolarityTE, Inc.",25,20180627,122916
572158445,145625476,Gogo Inc.,25,20180627,170384
572165141,5705108,Loma Negra Compañía Industrial Argentina Sociedad Anónima,25,20180627,267059
572179549,25714608,Sibanye Stillwater Limited,25,20180628,017287
572180401,35644,DaVita Inc.,25,20180628,061483
572181917,27504,DENTSPLY SIRONA Inc.,25,20180627,013700
572184295,26593586,"Restoration Robotics, Inc.",25,20180627,032380
572195778,1418524,"PolarityTE, Inc.",25,20180627,122916
572204693,700601,Atea ASA,25,20180628,205120
572287824,3121016,BNSF Railway Company,25,20180628,012312
572372505,6995884,"Akers Biosciences, Inc.",25,20180628,275264
572377981,685347,"Chugai Pharmaceutical Co., Ltd.",25,20180629,100441
572379807,27203771,"Caris Healthcare, L.P.",25,20180626,
572475079,30564889,TAURON Polska Energia S.A.,25,20180629,294966
572484896,24568,"Align Technology, Inc.",25,20180629,141384
572499401,33493,QUALCOMM Incorporated,25,20180630,024800
572499432,33050035,The Industrial Development Authority of the City of Phoenix,25,20180629,
572499827,377732,Volkswagen AG,25,20180629,100737
572499827,4217234,"Volkswagen Group of America, Inc.",25,20180629,
572500993,27618100,SteadyMed Ltd.,25,20180629,023043
572527860,282897216,New York City Department of Transportation,25,20180627,
572530566,275655757,"Cangzhou Bohai Port Co., Ltd.",25,20180629,
572539816,34600869,LendingClub Corporation,25,20180630,019647
572559322,876578,Aurcana Corporation,25,20180627,105464
572559322,312773876,"Trans-Pecos Pipeline, LLC",25,20180627,
572580903,45498428,eHi Car Services Limited,25,20180702,022111
572716981,32305,"NuVasive, Inc.",25,20180702,264385
572726144,882761,ICL Group Ltd,25,20180702,220211
572726144,5440331,Fertilizers and Chemicals Ltd.,25,20180702,
572726144,5490419,Rotem Amfert Negev Ltd.,25,20180702,
572747040,294639,"PPG Industries, Inc.",25,20180702,008247
572747571,291703,Newell Brands Inc.,25,20180702,007875
572748857,29346,HMS Holdings Corp.,25,20180702,026037
572750438,9771208,Gramercy Property Trust,25,20180702,160378
572753049,369346816,"WideOpenWest, Inc.",25,20180702,031466
572770537,517056,Elbit Imaging Ltd.,25,20180702,065379
572770552,225415012,Grace Glory Limited,25,20180702,
572803345,32607990,Kiri Industries Limited,25,20180703,288678
572803345,116838124,DyStar Global Holdings (Singapore) Pte. Ltd.,25,20180703,
572803345,206815360,Senda International Capital Limited,25,20180703,
572844461,46099590,Tullow Ghana Limited,25,20180703,
572868348,145625476,Gogo Inc.,25,20180703,170384
572870194,261970466,"Flex Pharma, Inc.",25,20180703,022673
572871490,25714608,Sibanye Stillwater Limited,25,20180703,017287
572871870,3128537,BBVA USA,25,20180703,261897
572876518,283588,"Kulicke and Soffa Industries, Inc.",25,20180703,006509
572877769,1418524,"PolarityTE, Inc.",25,20180703,122916
572884526,34933,American Superconductor Corporation,25,20180703,024795
572884526,35101471,"Sinovel Wind Group Co., Ltd.",25,20180703,296390
572911767,7940182,Universal Music Latino,25,20180704,
573121070,27194,"Crossroads Systems, Inc.",25,20180705,125276
573121070,96115,Dot Hill Systems Corp.,25,20180705,065413
573135788,35000,NortonLifeLock Inc.,25,20180705,015855
573148999,61320069,Singapore Medical Group Limited,25,20180705,292435
573150174,232731885,Perfect Growth Limited,25,20180705,
573150570,655659,Fluor Corporation,25,20180705,004818
573170698,65059725,"Edge Therapeutics, Inc.",25,20180705,026273
573194258,4483423,Air Industries Group,25,20180705,166087
573209764,236149932,Natus Neurology Incorporated,25,20180705,
573228456,111711464,GreenStar Agricultural Corporation,25,20180706,187364
573230376,414707666,Adventa Capital Pte Ltd,25,20180706,
573240924,702071,Warner Bros. Entertainment Inc.,25,20180706,
573286445,23046303,Micro Focus International plc,25,20180706,272961
573286456,411206,Vectren Corporation,25,20180706,005918
573330547,7715437,U.S. Food and Drug Administration,25,20180124,
573389789,24806483,Minerva Bunkering,25,20180707,165642
573390040,19109,Truist Financial Corporation,25,20180707,011856
573461801,265412,CytRx Corporation,25,20180709,013184
573473324,704674,Glencore plc,25,20180710,267407
573481701,41905362,Treasury Metals Inc.,25,20180709,180678
573481701,329383984,G2 Goldfields Inc.,25,20180709,185940
573481942,3128005,Columbia University,25,20180709,
573485641,33983931,Foreland Fabrictech Holdings Limited,25,20180709,284460
573485641,573486596,"Fujian Jinjiang Fulian Knitting Co., Ltd",25,20180709,
573492328,331900475,Heckler & Koch GmbH,25,20180710,
573492328,429528561,Orbital ATK UK Ltd.,25,20180710,
573494035,42681560,"MabVax Therapeutics Holdings, Inc.",25,20180709,021082
573506159,264625,Purdue Pharma L.P.,25,20180709,
573506159,363049,"Assertio Holdings, Inc.",25,20180709,065944
573506720,93042,American Renal Associates LLC,25,20180709,
573506720,115469405,American Renal Management LLC,25,20180709,
573512187,20935981,Telit Communications PLC,25,20180709,272738
573520651,26322,"Cephalon, Inc.",25,20180709,023945
573520651,36478,Allergan plc,25,20180709,027845
573520651,172207,"Cardinal Health, Inc.",25,20180709,002751
573520651,294957,Par Pharmaceutical Companies Inc.,25,20180709,008333
573520651,928736,AmerisourceBergen Drug Corporation,25,20180709,001245
573520651,966196,"Watson Laboratories, Inc.",25,20180709,
573520651,4522764,"Noramco, Inc.",25,20180709,
573520651,226511952,McKesson Corporation,25,20180709,
573520651,232036063,Mallinckrodt plc,25,20180709,018086
573520651,252872298,Endo Health Solutions Inc.,25,20180709,
573520651,379567574,Actavis LLC,25,20180709,
573520651,569765050,SpecGx LLC,25,20180709,
573534191,289030,"Micron Technology, Inc.",25,20180705,007343
573552391,24734352,"A10 Networks, Inc.",25,20180710,019849
573554221,377732,Volkswagen AG,25,20180710,100737
573571767,22603885,Tronox Holdings plc,25,20180710,164363
573572113,874225,Vale S.A.,25,20180625,209382
573584512,58766234,"Health Quest Systems, Inc.",25,20180710,
573602239,376921,"Mercury Systems, Inc.",25,20180711,066393
573612487,244755706,Motel 6,25,20180709,
573667650,24937,Apple Inc.,25,20180711,001690
573669447,531568773,Biofrontera Inc.,25,20180711,
573677000,801366,Hamburg Commercial Bank AG,25,20180711,024591
573677602,205233,"MEDNAX, Inc.",25,20180711,061325
573678448,539897555,"Funko, Inc.",25,20180711,032528
573692503,299412,"Raven Industries, Inc.",25,20180711,008958
573696427,24932074,Florida Department Of Transportation,25,20180711,
573696427,28958282,Florida's Turnpike Enterprise,25,20180711,
573701762,253997968,Farmland Partners Inc.,25,20180711,019526
573701766,410467,Deutsche Bank Aktiengesellschaft,25,20180711,015576
573714955,109887,Ben & Jerry's Homemade Inc.,25,20180711,011902
573730222,205233,"MEDNAX, Inc.",25,20180712,061325
573781826,26079217,Legacy Reserves Inc.,25,20180712,166436
573788816,27603970,"Natera, Inc.",25,20180712,024176
573794758,367874,DUSA Pharmaceuticals Inc.,25,20180712,024898
573797175,253997968,Farmland Partners Inc.,25,20180712,019526
573810458,317975,Express Scripts Holding Company,25,20180712,025356
573815165,50242834,China Auto Logistics Inc.,25,20180712,178304
573832671,7654894,Servcorp Limited,25,20180713,241412
573856787,22863605,Los Angeles International Airport,25,20180713,
573890009,208777059,Armada Seismic Invest II AS,25,20180713,
573909045,10360886,"Prime Media Holdings, Inc.",25,20180710,208589
573910666,876955,ageas SA/NV,25,20180713,016447
573922370,881725,Dr. Reddy's Laboratories Limited,25,20180713,223098
574118918,22830202,Sunwing Vacations Inc.,25,20180714,
574118918,29703811,"Sunwing Airlines, Inc.",25,20180714,
574133356,881725,Dr. Reddy's Laboratories Limited,25,20180714,223098
574134778,113939781,Meritus Federal Credit Union,25,20180713,
574165143,33493,QUALCOMM Incorporated,25,20180715,024800
574165439,253997968,Farmland Partners Inc.,25,20180716,019526
574185861,6962401,Cabinet Cornet Vincent Segurel,25,20180709,
574188851,294639,"PPG Industries, Inc.",25,20180716,008247
574233562,6414060,Petrobras America Inc.,25,20180702,
574233562,52005756,Petrobras Venezuela Investments & Services B.V.,25,20180702,
574234973,250594171,eWellness Healthcare Corporation,25,20180703,026968
574235145,4493335,Ballance Agri-Nutrients Limited,25,20180716,
574258277,399960,BlackBerry Limited,25,20180716,065986
574258277,8104897,HTC Corporation,25,20180716,251929
574258277,98134878,"Motorola Mobility Holdings, Inc.",25,20180716,186106
574258301,343729,Monster Beverage Corporation,25,20180716,024316
574258306,139488,McDonald's Corporation,25,20180716,007154
574291344,1532998,"Riot Blockchain, Inc.",25,20180716,148170
574292143,535667911,"Acetris Health, LLC",25,20180716,
574359629,99186,"Motorola Solutions, Inc.",25,20180717,007585
574359629,52894122,Hytera Mobilfunk GmbH,25,20180717,
574368406,7959285,"Blue Cross and Blue Shield of Georgia, Inc.",25,20180717,
574403477,1067165,WesternGeco Limited,25,20180717,
574433093,160077,"Anthem, Inc.",25,20180717,145046
574469730,297526,Portland General Electric Company,25,20180718,012428
574469730,765496,"Abengoa, S.A.",25,20180718,221636
574469730,54847657,"Abener Engineering and Construction Services, LLC",25,20180718,
574469730,329425504,Abeinsa EPC LLC,25,20180718,
574469730,329427191,Abeinsa Abener Teyma General Partnership,25,20180718,
574469730,329427967,"Teyma Construction USA, LLC",25,20180718,
574480467,11970930,"Switch, Inc.",25,20180718,032469
574490312,215515336,Prothena Corporation plc,25,20180718,016745
574493595,223778261,"Neora International, LLC",25,20180718,
574507172,130622469,James C. Justice Companies Inc.,25,20180718,
574539010,100846258,"Foundation Medicine, Inc.",25,20180718,018469
574539010,256906841,"Guardant Health, Inc.",25,20180718,034102
574540245,139488,McDonald's Corporation,25,20180718,007154
574542428,82311805,"Groupon, Inc.",25,20180718,187363
574574441,27792717,"ImmunoCellular Therapeutics, Ltd.",25,20180719,175013
574576302,24686,Amdocs Limited,25,20180719,111880
574576302,123524,Openet Telecom Limited,25,20180719,
574608703,59223727,"Recro Pharma, Inc.",25,20180719,019025
574615973,48767134,Realia Properties Inc.,25,20180719,
574622961,4803544,"AngioDynamics, Inc.",25,20180719,264387
574625409,144921892,"Kovack Securities, Inc.",25,20180719,
574654281,321690,National Beverage Corp.,25,20180719,024463
574654402,683713,ACADIA Pharmaceuticals Inc.,25,20180720,141846
574658711,98506,Chevron Corporation,25,20180719,002991
574660675,100918,Avista Corporation,25,20180719,011304
574660675,2405489,Hydro One Limited,25,20180719,024944
574705829,367049335,"Alliance MMA, Inc.",25,20180719,027868
574722067,885779,"Axon Enterprise, Inc.",25,20180720,143912
574738209,880476,"Capcom Co., Ltd.",25,20180719,201099
574770438,34117690,Tamkeen Holding Company K.P.S.C.,25,20180716,284501
574776433,8088224,MDX Public Company Limited,25,20180720,205072
574776433,31094157,Gateway Development Company Limited,25,20180720,
574782665,270624,Farmers Capital Bank Corporation,25,20180718,018110
574782665,313313,"WesBanco, Inc.",25,20180718,017151
574784632,141108369,Tartisan Nickel Corp.,25,20180718,
574795579,39975660,Smart Concrete Public Company Limited,25,20180719,318450
574861480,256654,BHP Group,25,20180723,013312
574866814,13225855,SpiceJet Limited,25,20180721,211289
574866814,107916160,Kal Airways Private Limited,25,20180721,
574988337,3163067,Klondex Mines Ltd.,25,20180723,107154
575055825,655659,Fluor Corporation,25,20180723,004818
575056310,323899,Barclays PLC,25,20180724,012673
575056310,2456646,Barclays Bank PLC,25,20180724,105547
575099985,666631,Allegiant Travel Company,25,20180724,175007
575103855,13610016,Vuzix Corporation,25,20180724,184113
575132598,317627,Boston Scientific Corporation,25,20180725,025279
575132598,30485592,Nevro Corp.,25,20180725,021916
575132649,4306112,"Ormat Technologies, Inc.",25,20180724,160913
575153015,214267877,PT Pinang Coal Indonesia,25,20180725,
575190261,321690,National Beverage Corp.,25,20180725,024463
575248356,166762,Unum Group,25,20180725,012726
575273345,241709041,"Diamond Resorts International, Inc.",25,20180725,185363
575358544,20702150,ZTE USA Inc.,25,20180726,
575358659,793451,Converse Inc.,25,20180726,
575358851,252551,"AV Homes, Inc.",25,20180726,001906
575400772,141885706,AbbVie Inc.,25,20180726,016101
575440514,1431883,Southern California Edison,25,20180726,014912
575510214,378060,"Rockwell Medical, Inc.",25,20180727,066366
575520849,4523101,American Osteopathic Association Inc,25,20180727,
575530291,223778261,"Neora International, LLC",25,20180727,
575530781,20765463,"Facebook, Inc.",25,20180727,170617
575530852,85069675,Minerva Surgical Inc.,25,20180727,
575535844,28895292,"Tetraphase Pharmaceuticals, Inc.",25,20180728,017350
575547730,376921,"Mercury Systems, Inc.",25,20180727,066393
575563057,4154845,Temple University,25,20180725,
575563194,42681560,"MabVax Therapeutics Holdings, Inc.",25,20180727,021082
575563335,22884310,City of Los Angeles Department of Water and Power Power System,25,20180726,
575563405,2039450,Charter Financial Corporation,25,20180727,145636
575566476,344641158,"Gemsa Enterprises, Llc",25,20180725,
575568473,2214129,Noble Group Limited,25,20180726,206897
575568473,217491376,Noble Resources Limited,25,20180726,
575568762,7652921,HS Optimus Holdings Limited,25,20180726,242747
575570649,414707666,Adventa Capital Pte Ltd,25,20180724,
575574504,61967803,The Stars Group Inc.,25,20180723,185291
575578853,109043579,De Tam Joint Stock Company,25,20180723,295086
575599618,262177544,The Young Turks LLC,25,20180727,
575599629,382296,YPF Sociedad Anónima,25,20180726,028520
575630727,20765463,"Facebook, Inc.",25,20180729,170617
575665593,883300,Orange Polska S.A.,25,20180725,224977
575735963,262788142,Vista Outdoor Inc.,25,20180730,022653
575748664,20357677,Kitov Pharma Ltd,25,20180730,291758
575807255,6995884,"Akers Biosciences, Inc.",25,20180730,275264
575810799,277824630,Indivior PLC,25,20180730,022410
575818797,277824630,Indivior PLC,25,20180731,022410
575835929,681217,Olympus Corporation,25,20180731,100686
575837647,27713986,Hytera Communications Corporation Limited,25,20180730,297881
575969621,11421199,"Tableau Software, Inc.",25,20180731,017695
576058428,8355123,Northeast Electric Development Company Limited,25,20180801,206898
576131771,424274249,HiLight Semiconductor Limited,25,20180801,
576164294,250788,Analogic Corporation,25,20180802,001633
576169499,173341,Comcast Corporation,25,20180802,003226
576199887,410467,Deutsche Bank Aktiengesellschaft,25,20180802,015576
576207963,403751487,GDS Holdings Limited,25,20180803,028475
576208343,403751487,GDS Holdings Limited,25,20180802,028475
576211597,4597154,Harvatek Corporation,25,20180802,256746
576223921,62562586,SPI Group S.à r.l.,25,20180802,
576226860,36367670,"INSYS Therapeutics, Inc.",25,20180802,179731
576233350,3767898,New York University,25,20180801,
576237421,327972,"Sodexo, Inc.",25,20180731,
576238344,292891,Wells Fargo & Company,25,20180801,008007
576252904,271362838,Boeing Distribution Services Inc.,25,20180731,022343
576282456,275361925,"MarkForged, Inc.",25,20180730,
576321834,395750,Entercom Communications Corp.,25,20180730,117902
576323974,368843,Helios and Matheson Analytics Inc.,25,20180803,065247
576324241,25454524,"Prime Healthcare Services, Inc.",25,20180803,
576328859,26593586,"Restoration Robotics, Inc.",25,20180804,032380
